Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
 Brittany Wheeler ,robertosanchez@example.com,6667-6241386,data science,QAU,1/24/2026,REJECTED
 Johnny Jackson ,nicholasrodriguez@example.com,8694-6977271,Cyber Security,COMSATS Islamabad,1/17/2026,UNDER REVIEW
Nicolas Taylor,xwood@example.com,5219-2053969,Data Science,FAST NUCES,2/12/2026,UNDER REVIEW
Bill Griffin,steve20@example.org,2148-2873562,Web Development,NUST,5/24/2026,under review
 Mrs. Lisa Clark DDS ,swalter@example.com,1057-6013659,datascience,,2/3/2026,rejected
  Gabrielle Zavala  ,robertsjohn@example.com,6119-5871707,web dev,QAU,2/15/2026,UNDER REVIEW
Carol Bishop DVM,xjohnson@example.org,1629-8397258,Web Development,Air University,6/26/2026,under review
Steven Ballard,danielcastro@example.net,6368-4793647,Mobile Development,Bahria University,2/4/2026,under review
Sara Ray,thomas33@example.com,5404-3963088,Mobile Development,NUST,3/2/2026,under review
Amy Pierce,osmith@example.org,2874-8409029,Data Science,,5/22/2026,under review
Larry Arellano,ritterlaura@example.net,6514-7307334,UI/UX Design,UET Taxila,6/10/2026,UNDER REVIEW
Alexis Ross,yaguirre@example.org,6755595091,Cyber Security,Bahria University,2/27/2026,UNDER REVIEW
Dana Sheppard,justin75@example.com,1015-1187451,Mobile Development,COMSATS Islamabad,4/23/2026,under review
Leon Cole,robersonrichard@example.net,1548-1922590,Data Science,Air University,6/16/2026,UNDER REVIEW
Mitchell Cunningham,walkerjeffery@example.org,5240-1042022,Data Science,UET Taxila,7/8/2026,UNDER REVIEW
Sharon Bailey,zmills@example.com,3444-9363313,Web Development,COMSATS Islamabad,1/23/2026,REJECTED
Angela Cox,sharon04@example.net,8216-8833240,UI/UX Design,Punjab University,6/7/2026,under review
Derrick Flores,lisahatfield@example.com,5908-3548354,Data Science,QAU,7/11/2026,UNDER REVIEW
Kathleen Ryan,megandougherty@example.net,8275-5270807,cybersecurity,NUST,1/15/2026,UNDER REVIEW
 Jessica Hancock ,gray@example.org,3637-3721586,Cyber Security,COMSATS Islamabad,6/21/2026,under review
John Lam,jeffrey55@example.org,3109-5193855,Web Development,Punjab University,6/29/2026,under review
Samantha Payne,thomas99@example.org,5993383748,Cyber Security,QAU,3/30/2026,REJECTED
Heather Dickson,danielrobertson@example.org,4704-7538178,Mobile Development,COMSATS Islamabad,3/5/2026,
 Sabrina Hernandez ,,3566-8846575,datascience,Punjab University,4/23/2026,rejected
Melissa Smith,jennifer05@example.net,9222-6463209,Data Science,UET Taxila,6/20/2026,under review
Amy Dixon,owenheather@example.org,6273-2313641,Cyber Security,UET Taxila,1/30/2026,UNDER REVIEW
 Victoria Dodson ,uedwards@example.org,8707-4459208,web dev,FAST NUCES,3/9/2026,REJECTED
Nicole Lara,marshallchristine@example.net,9386-8717701,UI/UX Design,Air University,1/25/2026,under review
,sarah57@example.com,8245-7121377,Mobile Development,COMSATS Islamabad,5/30/2026,SELECTED
Laura Carlson,marshjerry@example.org,3748-8664198,data science,FAST NUCES,3/2/2026,under review
Brad Walker,gchoi@example.org,6201-4997002,UI/UX Design,Air University,4/30/2026,REJECTED
Christine Johnson,andreareed@example.net,8348-1795006,cybersecurity,NUST,3/7/2026,UNDER REVIEW
Olivia Barnes,john60@example.com,3913-0201992,UI/UX Design,COMSATS Islamabad,7/3/2026,selected
 Heather Johnson ,chasemcdonald@example.org,508387091,UI/UX Design,NUST,2/16/2026,rejected
Steven Bell,hernandezdanielle@example.org,5881-1104615,Mobile Development,COMSATS Islamabad,5/13/2026,rejected
Susan Powell,sloansandra@example.net,5033-4993553,Data Science,FAST NUCES,6/22/2026,rejected
Anthony Evans,fgraham@example.net,5801-2669382,CYBERSECURITY,UET Taxila,6/1/2026,SELECTED
 Tricia Beck ,jonesmatthew@example.com,5238-8131970,Mobile Development,NUST,1/21/2026,rejected
Paula Wilkins,,8004-0086455,Mobile Development,QAU,4/11/2026,rejected
Matthew Deleon,wesley67@example.org,8496917734,Cyber Security,COMSATS Islamabad,4/17/2026,UNDER REVIEW
Andrew Perry,hyork@example.net,8769-3047856,Data Science,COMSATS Islamabad,5/24/2026,REJECTED
Tara Hernandez,justin05@example.com,1751-8810956,Mobile Development,,6/19/2026,REJECTED
